Year,Round,Match Info,Date Time,Team1,Team2,Score1,Score2,q1_A,q2_A,q3_A,q4_A,q1_B,q2_B,q3_B,q4_B
2024,finals,"Men's Placement Match 3/4
OFFICIAL",2/17/2024 3:30,Spain,France,14,10,4,5,2,3,3,4,5,2
2024,finals,"Men's Final Match 48
OFFICIAL",2/17/2024 9:30,Italy,Croatia,13,15,3,2,2,4,4,3,2,2
2024,semifinals,"Men's Semi Final Match 43
OFFICIAL",2/15/2024 8:00,Spain,Italy,6,8,1,1,1,3,3,1,1,1
2024,semifinals,"Men's Semi Final Match 44
OFFICIAL",2/15/2024 9:30,Croatia,France,17,16,3,3,3,2,2,3,3,3
2024,quarterfinals,"Men's Quarter Final Round Match 35
OFFICIAL",2/13/2024 8:00,Spain,Montenegro,15,12,5,3,5,2,2,5,3,5
2024,quarterfinals,"Men's Quarter Final Round Match 36
OFFICIAL",2/13/2024 9:30,Greece,Italy,10,11,3,2,3,2,2,3,2,3
2024,quarterfinals,"Men's Quarter Final Round Match 37
OFFICIAL",2/13/2024 11:00,Serbia,Croatia,13,15,4,5,1,3,3,4,5,1
2024,quarterfinals,"Men's Quarter Final Round Match 38
OFFICIAL",2/13/2024 12:30,Hungary,France,10,11,4,3,1,2,2,4,3,1
2024,classification,"Men's Classification 13-16 Match 25
OFFICIAL",2/11/2024 1:00,South Africa,Brazil,5,18,4,0,0,1,1,4,0,0
2024,classification,"Men's Classification 13-16 Match 26
OFFICIAL",2/11/2024 2:30,Japan,Kazakhstan,17,4,3,5,5,4,4,3,5,5
2024,classification,"Men's Placement Match 15/16
OFFICIAL",2/13/2024 1:00,South Africa,Kazakhstan,11,10,3,4,1,3,3,3,4,1
2024,classification,"Men's Placement Match 13/14
OFFICIAL",2/13/2024 2:30,Brazil,Japan,11,22,4,2,3,2,2,4,2,3
2024,classification,"Men's Classification 9-12 Match 33
OFFICIAL",2/13/2024 4:00,People's Republic of China,Romania,7,9,2,2,1,2,2,2,2,1
2024,classification,"Men's Classification 9-12 Match 34
OFFICIAL",2/13/2024 5:30,Australia,United States of America,10,16,3,4,1,2,2,3,4,1
2024,classification,"Men's Placement Match 11/12
OFFICIAL",2/15/2024 1:00,People's Republic of China,Australia,7,17,2,0,1,4,4,2,0,1
2024,classification,"Men's Placement Match 9/10
OFFICIAL",2/15/2024 2:30,Romania,United States of America,9,13,2,2,4,1,1,2,2,4
2024,classification,"Men's Classification 5-8 Match 41
OFFICIAL",2/15/2024 4:00,Montenegro,Greece,13,14,2,3,1,4,4,2,3,1
2024,classification,"Men's Classification 5-8 Match 42
OFFICIAL",2/15/2024 6:30,Serbia,Hungary,11,10,5,2,2,2,2,5,2,2
2024,classification,"Men's Placement Match 7/8
OFFICIAL",2/17/2024 2:00,Montenegro,Hungary,16,18,3,3,3,5,5,3,3,3
2024,classification,"Men's Placement Match 5/6
OFFICIAL",2/17/2024 8:00,Greece,Serbia,15,11,5,3,2,5,5,5,3,2
2024,round-of-16,"Men's Preliminary Round II Match 27
OFFICIAL",2/11/2024 4:00,Croatia,People's Republic of China,22,4,5,5,6,6,6,5,5,6
2024,round-of-16,"Men's Preliminary Round II Match 28
OFFICIAL",2/11/2024 8:00,Australia,France,8,11,3,3,1,1,1,3,3,1
2024,round-of-16,"Men's Preliminary Round II Match 29
OFFICIAL",2/11/2024 9:30,Montenegro,Romania,12,9,3,4,2,3,3,3,4,2
2024,round-of-16,"Men's Preliminary Round II Match 30
OFFICIAL",2/11/2024 11:00,United States of America,Italy,12,13,3,1,4,4,4,3,1,4
2024,group-a,"Men's Preliminary Round I - Group A Match 2
OFFICIAL",2/5/2024 1:00,South Africa,Spain,5,21,1,0,0,4,4,1,0,0
2024,group-a,"Men's Preliminary Round I - Group A Match 1
OFFICIAL",2/5/2024 5:30,Croatia,Australia,13,8,5,4,2,2,2,5,4,2
2024,group-a,"Men's Preliminary Round I - Group A Match 16
OFFICIAL",2/7/2024 5:30,Australia,South Africa,29,7,6,8,7,8,8,6,8,7
2024,group-a,"Men's Preliminary Round I - Group A Match 15
OFFICIAL",2/7/2024 11:00,Spain,Croatia,10,6,2,3,1,4,4,2,3,1
2024,group-a,"Men's Preliminary Round I - Group A Match 21
OFFICIAL",2/9/2024 5:30,Australia,Spain,9,15,2,3,2,2,2,2,3,2
2024,group-a,"Men's Preliminary Round I - Group A Match 22
OFFICIAL",2/9/2024 8:00,South Africa,Croatia,6,29,2,1,3,0,0,2,1,3
2024,group-b,"Men's Preliminary Round I - Group B Match 3
OFFICIAL",2/5/2024 2:30,People's Republic of China,Greece,6,24,1,0,3,2,2,1,0,3
2024,group-b,"Men's Preliminary Round I - Group B Match 4
OFFICIAL",2/5/2024 4:00,Brazil,France,11,16,1,4,3,3,3,1,4,3
